whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X1263.Molecular.Connections.	IMEx	missing_protein_evidence	BioGRID_from_Mentha
A0A077LTN0	1	1	0	0	0	0	0	0	0	1	0
A0A078BPD2	1	1	0	0	0	0	0	0	0	1	0
A0A078BPD7	1	1	0	0	0	0	0	0	0	1	0
A0A078BPE0	1	1	0	0	0	0	0	0	0	0	0
A0A078BPE5	1	1	0	0	0	0	0	0	0	1	0
A0A078BPE8	1	1	0	0	0	0	0	0	0	1	0
A0A078BPF2	1	1	0	0	0	0	0	0	0	1	0
A0A078BPF3	1	1	0	0	0	0	0	0	0	1	0
A0A078BPF6	1	1	0	0	0	0	0	0	0	0	0
A0A078BPF7	1	1	0	0	0	0	0	0	0	0	0
A0A078BPG0	1	1	0	0	0	0	0	0	0	0	0
A0A078BPG4	1	1	0	0	0	0	0	0	0	0	0
A0A078BPG5	1	1	0	0	0	0	0	0	0	1	0
A0A078BPG8	1	1	0	0	0	0	0	0	0	0	0
A0A078BPH2	1	1	0	0	0	0	0	0	0	1	0
A0A078BPH3	1	1	0	0	0	0	0	0	0	0	0
A0A078BPH7	1	1	0	0	0	0	0	0	0	0	0
A0A078BPH9	1	1	0	0	0	0	0	0	0	0	0
A0A078BPI1	1	1	0	0	0	0	0	0	0	0	0
A0A078BPI4	1	1	0	0	0	0	0	0	0	1	0
A0A078BPI6	1	1	0	0	0	0	0	0	0	0	0
A0A078BPI8	1	1	0	0	0	0	0	0	0	0	0
A0A078BPJ1	1	1	0	0	0	0	0	0	0	0	0
A0A078BPJ4	1	1	0	0	0	0	0	0	0	0	0
A0A078BPJ6	1	1	0	0	0	0	0	0	0	0	0
A0A078BPK0	1	1	0	0	0	0	0	0	0	1	0
A0A078BPK1	1	1	0	0	0	0	0	0	0	1	0
A0A078BPK5	1	1	0	0	0	0	0	0	0	1	0
A0A078BPK7	1	1	0	0	0	0	0	0	0	1	0
A0A078BPL2	1	1	0	0	0	0	0	0	0	0	0
A0A078BPL3	1	1	0	0	0	0	0	0	0	0	0
A0A078BPL6	1	1	0	0	0	0	0	0	0	1	0
A0A078BPM1	1	1	0	0	0	0	0	0	0	0	0
A0A078BPM2	1	1	0	0	0	0	0	0	0	1	0
A0A078BPM8	1	1	0	0	0	0	0	0	0	0	0
A0A078BPN3	1	1	0	0	0	0	0	0	0	1	0
A0A078BPN7	1	1	0	0	0	0	0	0	0	0	0
A0A078BQH5	1	1	0	0	0	0	0	0	0	1	0
A0A078BQH9	1	1	0	0	0	0	0	0	0	1	0
A0A078BQI3	1	1	0	0	0	0	0	0	0	0	0
A0A078BQI6	1	1	0	0	0	0	0	0	0	1	0
A0A078BQJ0	1	1	0	0	0	0	0	0	0	1	0
A0A078BQJ2	1	1	0	0	0	0	0	0	0	1	0
A0A078BQJ7	1	1	0	0	0	0	0	0	0	0	0
A0A078BQK0	1	1	0	0	0	0	0	0	0	0	0
A0A078BQK4	1	1	0	0	0	0	0	0	0	0	0
A0A078BQK8	1	1	0	0	0	0	0	0	0	0	0
A0A078BQL1	1	1	0	0	0	0	0	0	0	0	0
A0A078BQL6	1	1	0	0	0	0	0	0	0	1	0
A0A078BQM0	1	1	0	0	0	0	0	0	0	1	0
A0A078BQM5	1	1	0	0	0	0	0	0	0	1	0
A0A078BQN0	1	1	0	0	0	0	0	0	0	0	0
A0A078BQN7	1	1	0	0	0	0	0	0	0	1	0
A0A078BQP2	1	1	0	0	0	0	0	0	0	1	0
A0A078BQP7	1	1	0	0	0	0	0	0	0	0	0
A0A078BQQ1	1	1	0	0	0	0	0	0	0	0	0
A0A078BS14	1	1	0	0	0	0	0	0	0	1	0
A0A078BS18	1	1	0	0	0	0	0	0	0	1	0
A0A078BS22	1	1	0	0	0	0	0	0	0	0	0
A0A078BS27	1	1	0	0	0	0	0	0	0	1	0
A0A078BS31	1	1	0	0	0	0	0	0	0	1	0
A0A078BS36	1	1	0	0	0	0	0	0	0	1	0
A0A078BS39	1	1	0	0	0	0	0	0	0	0	0
A0A078BS43	1	1	0	0	0	0	0	0	0	0	0
A0A078BS47	1	1	0	0	0	0	0	0	0	0	0
A0A078BS51	1	1	0	0	0	0	0	0	0	0	0
A0A078BS54	1	1	0	0	0	0	0	0	0	1	0
A0A078BS59	1	1	0	0	0	0	0	0	0	0	0
A0A078BS63	1	1	0	0	0	0	0	0	0	0	0
A0A078BS67	1	1	0	0	0	0	0	0	0	1	0
A0A078BS72	1	1	0	0	0	0	0	0	0	1	0
A0A078BS77	1	1	0	0	0	0	0	0	0	1	0
A0A078BS80	1	1	0	0	0	0	0	0	0	1	0
A0A078BS85	1	1	0	0	0	0	0	0	0	0	0
A0A078BTI5	1	1	0	0	0	0	0	0	0	1	0
A0A078BTI7	1	1	0	0	0	0	0	0	0	1	0
A0A078BTJ0	1	1	0	0	0	0	0	0	0	0	0
A0A078BTJ4	1	1	0	0	0	0	0	0	0	1	0
A0A078BTJ7	1	1	0	0	0	0	0	0	0	1	0
A0A078BTK0	1	1	0	0	0	0	0	0	0	1	0
A0A078BTK3	1	1	0	0	0	0	0	0	0	0	0
A0A078BTK6	1	1	0	0	0	0	0	0	0	0	0
A0A078BTK9	1	1	0	0	0	0	0	0	0	0	0
A0A078BTL3	1	1	0	0	0	0	0	0	0	1	0
A0A078BTL4	1	1	0	0	0	0	0	0	0	0	0
