whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	0469(IntAct)	0471(MINT)	0486(UniProt)	0903(mpidb)	IMEx	missing_protein_evidence
P08369	1	1	0	0	0	0	0	0	0	0
P08370	1	1	0	0	0	0	0	0	0	1
P08371	1	1	0	0	0	0	0	0	0	1
P08372	1	1	0	0	0	0	0	0	0	1
P08373	1	1	uniprotkb	83333	1	0	0	0	1	0
P08390	1	1	uniprotkb	83333	1	0	0	0	1	0
P08394	1	1	uniprotkb	83333	1	1	0	0	1	0
P08395	1	1	uniprotkb	83333	1	0	0	0	1	0
P08400	1	1	uniprotkb	83333	1	0	0	0	1	0
P08401	1	1	uniprotkb	83333	1	0	0	0	1	0
P08409	0	0	uniprotkb	83333	1	0	0	0	1	0
P08506	1	1	uniprotkb	83333	1	1	0	0	1	0
P08550	1	1	uniprotkb	83333	1	0	0	0	1	0
P08555	1	1	uniprotkb	83333	1	0	0	0	1	0
P08622	1	1	uniprotkb	83333	1	1	0	1	1	0
P08660	1	1	0	0	0	0	0	0	0	0
P08722	1	1	uniprotkb	83333	1	0	0	0	1	0
P08839	1	1	uniprotkb	83333	1	1	0	0	1	0
P08868	1	0	0	0	0	0	0	0	0	1
P08956	1	1	uniprotkb	83333	1	0	0	0	1	1
P08957	1	1	uniprotkb	83333	1	0	0	0	1	0
P08997	1	1	uniprotkb	83333	1	0	0	0	1	0
P09029	1	1	uniprotkb	83333	1	0	0	0	1	0
P09030	1	1	uniprotkb	83333	1	0	0	0	1	0
P09053	1	1	uniprotkb	83333	1	0	0	0	1	0
P09099	1	1	uniprotkb	83333	1	0	0	0	1	0
P09126	1	1	uniprotkb	83333	1	0	0	0	1	1
P09127	1	1	uniprotkb	83333	1	0	0	0	1	0
P09129	1	0	0	0	0	0	0	0	0	1
P09130	1	0	0	0	0	0	0	0	0	0
P09147	1	1	uniprotkb	83333	1	0	0	0	1	0
P09148	1	1	uniprotkb	83333	1	0	0	0	1	0
P09151	1	1	uniprotkb	83333	1	0	0	0	1	0
P09152	1	1	uniprotkb	83333	1	1	0	1	1	0
P09153	1	1	uniprotkb	83333	1	0	0	0	1	0
P09154	1	1	0	0	0	0	0	0	0	1
P09155	1	1	uniprotkb	83333	1	0	0	0	1	0
P09158	1	1	uniprotkb	83333	1	0	0	0	1	0
P09162	1	1	uniprotkb	83333	1	0	0	0	1	1
P09163	1	1	uniprotkb	83333	1	0	0	0	1	0
P09169	1	1	0	0	0	0	0	0	0	0
P09184	1	1	uniprotkb	83333	1	0	0	1	1	0
P09323	1	1	0	0	0	0	0	0	0	0
P09348	1	1	uniprotkb	83333	1	0	0	0	1	0
P09372	1	1	uniprotkb	83333	1	0	0	0	1	0
P09373	1	1	uniprotkb	83333	1	0	0	0	1	0
P09377	1	1	uniprotkb	83333	1	0	0	0	1	0
P09378	1	1	uniprotkb	83333	1	0	0	0	1	0
P09391	1	1	uniprotkb	83333	1	1	0	0	1	0
P09394	1	1	uniprotkb	83333	1	0	0	0	1	0
P09424	1	1	uniprotkb	83333	1	0	0	0	1	0
P09546	1	1	uniprotkb	83333	1	1	0	0	1	0
P09549	1	1	0	0	0	0	0	0	0	1
P09551	1	1	0	0	0	0	0	0	0	0
P09557	1	1	uniprotkb	83333	1	0	0	0	1	1
P09831	1	1	uniprotkb	83333	1	0	0	0	1	0
P09832	1	1	uniprotkb	83333	1	0	0	0	1	0
P09833	1	1	uniprotkb	83333	1	0	0	0	1	1
P09835	1	1	0	0	0	0	0	0	0	0
P09836	1	1	0	0	0	0	0	0	0	0
P09980	1	1	uniprotkb	83333	1	0	0	0	1	0
P09996	1	1	uniprotkb	83333	1	0	0	0	1	1
P0A698	1	1	uniprotkb	83333	1	0	0	1	1	0
P0A6A0	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6A3	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6A6	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6A8	1	1	uniprotkb	83333	1	0	1	1	1	0
P0A6B4	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6B7	1	1	uniprotkb	83333	1	1	0	0	1	0
P0A6C1	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6C5	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6C8	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6D0	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6D3	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6D5	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6D7	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6E1	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6E4	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6E6	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6E9	1	1	uniprotkb	83333	1	0	0	0	1	1
P0A6F1	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6F3	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6F5	1	1	uniprotkb	83333	1	1	0	1	1	0
P0A6F9	1	1	uniprotkb	83333	1	1	0	0	1	0
P0A6G3	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6G5	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6G7	1	1	uniprotkb	83333	1	0	0	1	1	0
P0A6H1	1	1	uniprotkb	83333	1	0	0	1	1	0
P0A6H5	1	1	uniprotkb	83333	1	0	0	1	1	0
P0A6H8	1	1	0	0	0	0	0	0	0	0
P0A6I0	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6I3	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6I6	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6I9	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6J1	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6J3	1	1	0	0	0	0	0	0	0	0
P0A6J5	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6J8	1	1	uniprotkb	83333	1	0	0	0	1	1
P0A6K1	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6K3	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6K6	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6L0	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6L2	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6L4	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6L7	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6L9	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6M2	1	1	uniprotkb	83333	1	1	0	0	1	0
P0A6M4	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6M8	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6N1	0	0	uniprotkb	83333	1	0	0	0	1	0
P0A6N4	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6N8	1	1	0	0	0	0	0	0	0	0
P0A6P1	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6P5	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6P7	1	1	0	0	0	0	0	0	0	0
P0A6P9	1	1	uniprotkb	83333	1	0	0	1	1	0
P0A6Q3	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6Q6	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6R0	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6R3	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6S0	1	1	uniprotkb	83333	1	0	0	0	1	1
P0A6S3	1	1	uniprotkb	83333	1	0	0	0	1	1
P0A6S5	1	1	uniprotkb	83333	1	0	0	1	1	0
P0A6S7	1	1	uniprotkb	83333	1	0	0	0	1	1
P0A6T1	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6T3	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6T5	1	1	uniprotkb	83333	0	1	0	0	1	0
P0A6T9	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6U3	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6U5	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6U8	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6V1	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6V5	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6V8	1	1	uniprotkb	83333	1	0	0	1	1	0
P0A6W0	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6W3	1	1	0	0	0	0	0	0	0	0
P0A6W5	1	1	uniprotkb	83333	1	0	0	0	1	0
P0A6W9	1	1	uniprotkb	83333	1	0	0	0	1	0
