whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X0903.mpidb.	X1263.Molecular.Connections.	X1335.HPIDb.	IMEx	missing_protein_evidence	BioGRID_from_Mentha
A0A178U5L6	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5L7	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5L9	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5M6	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5M7	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5N5	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5N7	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5P5	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5P8	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5Q3	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5Q6	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5Q9	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5R5	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5S0	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5S5	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5S8	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5T8	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5T9	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5U0	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5U8	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5U9	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5V3	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5V9	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5W3	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5X0	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5X3	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5X4	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5X8	1	0	0	0	0	0	0	0	0	0	0	1	0
