whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	0469(IntAct)	0471(MINT)	0486(UniProt)	0903(mpidb)	0974(InnateDB)	1222(mbinfo)	1262(I2D)	1263(Molecular Connections)	1332(bhf-ucl)	1335(HPIDb)	IMEx	missing_protein_evidence
A0A075B5U6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5U7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5U9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5V0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5V1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5V2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5V3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5V4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5V5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5V6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5V7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5V8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5V9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5W1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5W2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5W3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5W4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5W5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5W6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5W7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5W9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5X0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5X1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5X2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5X3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5X4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5X5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5X6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5X7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5X8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5X9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5Y0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5Y1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5Y2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
